nombre,artista,id_artista,año,genero
Why'd You Only Call Me When You're High?,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie
Wrecking Ball - Director's Cut,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2013,Desconocido
Bound 2,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2013,rap
Girls,Santigold,6Jrxnp0JgqmeUX1veU591p,2013,Desconocido
Pompeii,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,2013,Desconocido
Rock mi,voXXclub,1MTZLkTHs5s3jUV5ezuSIu,2013,schlager
Ribs,Lorde,163tK9Wjr9P9DmM0AVK7lm,2013,Desconocido
เมื่อไหร่จะได้พบเธอ,เต้ ภูริต ภิรมย์ภักดี,50Oc6oBw5HK4iSn03rf5un,2013,thai pop
Hey Brother,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2013,edm
Estou Apaixonado (Estoy Enamorado) - Ao Vivo,Daniel,2wwWukJBsCikjlj7vlbQkM,2013,sertanejo tradicional
La La La,Naughty Boy,1bT7m67vi78r2oqvxrP3X5,2013,Desconocido
"Hello, My Name Is - Live",Matthew West,6e8OTLDQpaz1Tl2GEaxsNj,2013,christian
Cigarette Daydreams,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,2013,modern rock
Dos Por Dos - (con Miguel Rios)Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido
Let Her Go,Passenger,0gadJ2b9A4SKsB1RFkBb66,2013,folk pop
No va más - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido
Still into You,Paramore,74XFHRwlV6OrjEM0A2NCMF,2013,pop punk
Si no hubiera que correr - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido
All I Want,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,2013,Desconocido
Tierra baldía - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido
i was all over her,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,2013,slowcore
ใจเอย,สน ยุกต์,5W5jAowtGGqwzcr8DacSiS,2013,thai pop
I Love It (feat. Charli XCX),Icona Pop,1VBflYyxBhnDc9uVib98rw,2013,Desconocido
Invisibili,Ape Escape,1NAHhp8bXPXpygZRqRdt2i,2013,jungle
A Sky Full of Stars,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2014,Desconocido
"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Take Me To Church,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido
"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Do I Wanna Know? - Live At the BBC,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido
"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Someone New,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido
"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Shut Up and Dance,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,2014,Desconocido
"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Work Song,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido
Iré tras de ti,Mr.,5yocZHV4puj9QHb4xAXAtL,2014,cantopop
Budapest,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2014,Desconocido
Il fait chaud,Patrick Sébastien,6EnaTzKZRHzVO1Meqoh1hJ,2014,chanson
Night Changes,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2014,Desconocido
G.U.Y. - An ARTPOP Film,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2014,art pop
No Role Modelz,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2014,rap
Fragile (Director's Cut),Tech N9ne,6UBA15slIuadJ8h2lPRPos,2014,horrorcore
Time of Our Lives,Pitbull,0TnOYISbd1XYRBk9myaseg,2014,Desconocido
Smile,Abel The Kid,1jFW8Qk6mMFADyD1dbiry2,2014,Desconocido
From Eden,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido
"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Lovers Rock,TV Girl,0Y6dVaC9DZtPNH4591M42W,2014,Desconocido
好不好,Evan Yo,7JY6f7uRdLtKSHbHlQXduV,2014,mandopop
Photograph,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2014,soft pop
Welcome to the Black Parade - Outtake Version,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,2014,emo
Riptide,Vance Joy,10exVja0key0uqUkk6LJRT,2014,folk pop
Live Forever,Oasis,2DaxqgrOhkeH0fpeiQq2f4,2014,britpop
My Love,Route 94,1dgdvbogmctybPrGEcnYf6,2014,house
"Muskurane (Film Version) [From ""Citylights""]",Jeet Gannguli,2kkQthS9OLpK4UqNWYqoVl,2014,bangla pop
Summer,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2014,edm
"Cloud 9 - From ""Cloud 9"" / Original TV Movie Soundtrack",Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,2014,Desconocido
The Nights,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2014,edm
Kruhy,Lipo,1EYzuEr3XibJHhM7k60C7Y,2014,Desconocido
Blame It on Me,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2014,Desconocido
Magie / 24H,Kurdo,1yIifIA91WgmfzBcjbQB8i,2014,german hip hop
Waves - Robin Schulz Radio Edit,Mr. Probz,33W1pnW9zScZtYTnAoWnOT,2014,Desconocido
Addicted To You - Live,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2014,edm
Fireball (feat. John Ryan),Pitbull,0TnOYISbd1XYRBk9myaseg,2014,Desconocido
All By Myself (ZDF Tele-Illustrierte 17.01.1989) - VOD,Peter Hofmann,4efGIkUGWK4Z4LvG9XKULG,2014,opera
One Last Time,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2014,pop
Main Chick REMIX (feat. Chris Brown & Tyga),Kid Ink,6KZDXtSj0SzGOV705nNeh3,2014,Desconocido
Outside (feat. Ellie Goulding),Calvin Harris,7CajNmpbOovFoOoasH2HaY,2014,edm
My Girl (feat. Trevor Jackson),Diggy,2LuUALONla8DJRSCiGONBp,2014,Desconocido
Shake It Off,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2014,Desconocido
"You're My Heart, You're My Soul (ZDF Tele-Illustrierte 02.01.1985) - Live from ZDF Tele-Illustrierte, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco
Wet Dreamz,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2014,rap
"Verlieben, verloren, vergessen, verzeih'n (ZDF Länderjournal 31.03.1992) - VOD",Wolfgang Petry,0JLbfIT1Z20raMAVYWtCD7,2014,schlager
Riptide,Vance Joy,10exVja0key0uqUkk6LJRT,2014,folk pop
White Crime,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,2014,Desconocido
The Night We Met,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,2015,Desconocido
言葉のいらない約束,sana,5vsQrdvs38LX8DmUmLUiwb,2015,Desconocido
"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",White Noise Baby Sleep,4W12lEvVl5wectUtRNrvDh,2015,Desconocido
