nombre,artista,id_artista,año,genero,genero_general
"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",Abhishek - Akshay,3hbbfkU5rc1rhxiaE18JQg,2012,Desconocido,Otros
Ho Hey,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,2012,folk pop,folk
Let Me Love You (Until You Learn To Love Yourself) - Director's Cut (Explicit),Ne-Yo,21E3waRsmPlU7jZsS13rcj,2012,Desconocido,Otros
Money Trees,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2012,hip hop,hip-hop
Lågsus (feat. Medina),Specktors,36Na2YYP8im6qQJBZu2fsa,2012,Desconocido,Otros
Stubborn Love,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,2012,folk pop,folk
Hardkor i disko,Sofa,27JQGGtjn9Czzx34UHoxMP,2012,post-rock,rock
Little Talks,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,2012,folk pop,folk
Losing You,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2012,Desconocido,Otros
Lost,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2012,Desconocido,Otros
"Rum Whisky (From ""Vicky Donor"")",Abhishek - Akshay,3hbbfkU5rc1rhxiaE18JQg,2012,Desconocido,Otros
Drive By,Train,3FUY2gzHeIiaesXtOAdB7A,2012,soft pop,pop
Magia - Intro,Maluma,1r4hJ1h58CWwUQe3MxPuau,2012,reggaeton,latino
Feel So Close - Radio Edit,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2012,edm,electrónica
Wind Song,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2012,Desconocido,Otros
When I Was Your Man,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2012,Desconocido,Otros
Guiding Light,Mark Wonder,7bVL3LNPkn7Lqbt0JSVQSu,2012,reggae,reggae
Video Games,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2012,Desconocido,Otros
"He Touched Me - Live At Majestic Theatre, San Antonio, TX/2009",Gaither Vocal Band,0pjLiK5qb4Zr0PWRNkdd2o,2012,southern gospel,blues
I Will Wait,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,2012,folk,folk
Ayaş Kalsın Sizlere / Ekin Ektim Düzlere,Mehmet Demirtaş,7fS4b00IU7XxRQZzJL6c7W,2012,oyun havasi,Otros
Hall of Fame (feat. will.i.am),The Script,3AQRLZ9PuTAozP28Skbq8V,2012,Desconocido,Otros
Love In Any Language - Live,Bill & Gloria Gaither,11sAWrpIkFUPQlXoQqpeBV,2012,southern gospel,blues
Stay,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2012,Desconocido,Otros
The Sick Note,The Dubliners,72RvmgEg2omdlMV9aExO6a,2012,celtic,Otros
Thinkin Bout You,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2012,Desconocido,Otros
Serpentyny i mydlane bańki,Sofa,27JQGGtjn9Czzx34UHoxMP,2012,post-rock,rock
Call Me Maybe,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,2012,Desconocido,Otros
"Diamonds On The Soles Of Her Shoes - from The African Concert, 1987",Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,2012,singer-songwriter,Otros
Summertime Sadness,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2012,Desconocido,Otros
Magic (feat. T.I.),Future,1RyvyyTE3xzB2ZywiAwp0i,2012,rap,hip-hop
Demons,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2012,Desconocido,Otros
アルタイル,秦 基博 meets 坂道のアポロン,6zbJYUN1FfUnEUAJpLHwCD,2012,Desconocido,Otros
Classic,MKTO,2l35CQqtYRh3d8ZIiBep4v,2012,Desconocido,Otros
Така ми говори,Kali,0j4z7kUnuRChYom1rytlQY,2012,Desconocido,Otros
Wild Ones (feat. Sia),Flo Rida,0jnsk9HBra6NMjO2oANoPY,2012,Desconocido,Otros
When We Don't Exist Reissue (Learn Your Place),Like Moths To Flames,6RRpZz1uPqY9E28kmSPAhw,2012,metalcore,metal
